name,Team_y,Position_y,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh_perc,TOI_x,TOI_dec,CLAUSE,EXPIRY,CAPHIT,CAP HIT %,cap_hit_perc,SALARY,CF_perc,FF_perc,xGF_perc,PIM,Giveaways,Takeaways,Hits,Hits Taken,blocked_shots
Zemgus Girgensons,BUF,C,Left,68,12,7,19,0.28,-1,85,0.14,13:47,13.78333333,,UFA,"$1,600,000",2.00%,0.02,"$1,600,000",41.77,41.89,40.84,10,11,13,110,71,20
Zack Smith,CHI,C,Left,50,4,7,11,0.22,2,43,0.09,11:47,11.78333333,M-NTC,UFA,"$3,250,000",4.50%,0.045,"$3,250,000",42.62,41.46,39.88,29,14,21,112,71,18
Zack Kassian,EDM,W,Right,59,15,19,34,0.58,0,99,0.15,15:39,15.65,,UFA,"$1,950,000",2.60%,0.026,"$2,000,000",49.1,49.47,47.26,69,45,26,157,54,8
Zach Parise,MIN,W,Left,69,25,21,46,0.67,-11,155,0.16,17:11,17.18333333,NMC,UFA,"$7,538,461",12.60%,0.126,"$9,000,000",52.74,52.41,57.12,8,22,21,27,60,38
Zach Hyman,TOR,W,Right,51,21,16,37,0.73,13,106,0.2,19:05,19.08333333,M-NTC,UFA,"$2,250,000",3.00%,0.03,"$2,500,000",50.48,50.23,53.2,23,16,32,52,101,23
Zach Bogosian,"BUF, T.B",D,Right,27,1,6,7,0.26,0,29,0.03,16:37,16.61666667,,UFA,"$5,142,857",1.60%,0.016,"$6,000,000",43.86,43.21,40.15,22,11,4,30,21,27
Zach Bogosian,"BUF, T.B",D,Right,27,1,6,7,0.26,0,29,0.03,16:37,16.61666667,,UFA,"$1,300,000",1.60%,0.016,"$1,300,000",43.86,43.21,40.15,22,11,4,30,21,27
Zach Aston-Reese,PIT,C,Left,57,6,7,13,0.23,6,98,0.06,14:25,14.41666667,,RFA,"$1,000,000",1.20%,0.012,"$1,000,000",47.63,47.36,48.82,28,21,20,136,99,30
Yanni Gourde,T.B,C,Left,70,10,20,30,0.43,-5,110,0.09,14:03,14.05,NTC,UFA,"$5,166,666",6.50%,0.065,"$6,300,000",51.83,51.49,51.9,49,14,48,78,114,20
William Nylander,TOR,W,Right,68,31,28,59,0.87,-2,197,0.16,18:12,18.2,,UFA,"$6,962,366",8.80%,0.088,"$9,000,000",59.67,58.4,58.37,12,41,42,9,66,14
William Karlsson,VGK,C,Left,63,15,31,46,0.73,11,138,0.11,18:51,18.85,,UFA,"$5,900,000",7.20%,0.072,"$5,900,000",55.02,55.56,53.24,16,37,54,40,94,38
William Carrier,VGK,W,Left,70,7,12,19,0.27,0,99,0.07,9:52,9.866666667,,RFA,"$725,000",0.90%,0.009,"$725,000",53.63,54.34,55.36,39,8,22,213,129,11
Will Butcher,N.J,D,Left,55,4,17,21,0.38,-8,62,0.06,17:55,17.91666667,,UFA,"$3,733,333",4.60%,0.046,"$3,500,000",48.73,49.86,50.07,6,27,10,31,54,75
Wayne Simmonds,"BUF, N.J",W,Right,68,8,17,25,0.37,-21,119,0.07,14:55,14.91666667,M-NTC,UFA,"$5,000,000",6.10%,0.061,"$5,000,000",53.22,53.71,56.37,66,18,27,145,63,29
Vladislav Namestnikov,"COL, NYR, OTT",W,Left,65,17,14,31,0.48,-5,98,0.17,15:03,15.05,,UFA,"$4,000,000",5.00%,0.05,"$4,000,000",45.3,45.6,50.39,45,28,25,108,74,47
Vladislav Kamenev,COL,C,Left,38,1,7,8,0.21,-2,32,0.03,8:58,8.966666667,,RFA,"$750,000",0.90%,0.009,"$750,000",52.77,53.13,52.78,8,7,18,34,21,16
Vladimir Tarasenko,STL,W,Left,10,3,7,10,1,-2,26,0.12,16:10,16.16666667,NTC,UFA,"$7,500,000",10.50%,0.105,"$9,500,000",55.56,56.52,46.21,0,5,3,17,4,7
Vladimir Sobotka,BUF,C,Left,16,1,2,3,0.19,2,23,0.04,14:15,14.25,,UFA,"$3,500,000",4.80%,0.048,"$3,000,000",38.38,37.95,31.23,4,3,3,26,18,7
Vinnie Hinostroza,ARI,W,Right,69,5,17,22,0.32,1,132,0.04,13:06,13.1,,UFANo QO,"$1,500,000",2.00%,0.02,"$1,500,000",47.96,47.47,46.42,14,20,30,51,94,26
Vincent Trocheck,"CAR, FLA",C,Right,62,11,27,38,0.61,-8,141,0.08,16:43,16.71666667,,UFA,"$4,750,000",6.50%,0.065,"$5,250,000",55.78,55.48,53.81,49,64,51,101,96,37
Viktor Arvidsson,NSH,W,Right,57,15,13,28,0.49,-4,127,0.12,16:12,16.2,,UFA,"$4,250,000",5.70%,0.057,"$4,250,000",56.04,55.43,53.86,26,24,15,27,88,24
Victor Rask,MIN,C,Left,43,5,8,13,0.3,7,38,0.13,10:28,10.46666667,,UFA,"$4,000,000",5.50%,0.055,"$4,000,000",53.72,53.53,54.66,6,5,13,26,22,8
Victor Hedman,T.B,D,Left,66,11,44,55,0.83,27,155,0.07,24:03:00,24.05,NMC,UFA,"$7,875,000",10.80%,0.108,"$8,000,000",53.36,53.8,55.24,31,40,47,73,73,98
Valeri Nichushkin,COL,W,Left,64,13,14,27,0.42,26,113,0.12,14:04,14.06666667,,RFA,"$2,950,000",1.00%,0.01,"$3,200,000",57.28,56.86,61.11,14,18,38,84,55,22
Valeri Nichushkin,COL,W,Left,64,13,14,27,0.42,26,113,0.12,14:04,14.06666667,,RFA,"$850,000",1.00%,0.01,"$850,000",57.28,56.86,61.11,14,18,38,84,55,22
Tyson Barrie,TOR,D,Right,70,5,34,39,0.56,-7,169,0.03,21:52,21.86666667,,UFA,"$5,500,000",7.50%,0.075,"$6,000,000",57.14,55.6,54.25,16,62,16,47,118,76
Tyler Toffoli,"L.A, VAN",W,Right,68,24,20,44,0.65,-1,203,0.12,16:50,16.83333333,,UFA,"$4,600,000",6.30%,0.063,"$4,800,000",59.22,58.76,55.32,20,34,35,48,65,16
Tyler Seguin,DAL,C,Right,69,17,33,50,0.72,-2,245,0.07,19:08,19.13333333,NMC,UFA,"$9,850,000",12.40%,0.124,"$13,500,000",53.58,53.34,56.71,22,52,34,90,31,31
Tyler Pitlick,PHI,C,Right,63,8,12,20,0.32,11,76,0.11,12:02,12.03333333,,UFA,"$1,000,000",1.30%,0.013,"$1,000,000",43.81,44.78,44.79,12,15,28,132,110,42
Tyler Myers,VAN,D,Right,68,6,15,21,0.31,-7,134,0.04,21:30,21.5,NMC,UFA,"$6,000,000",7.40%,0.074,"$7,000,000",48.66,49.16,47.07,49,41,42,99,79,108
Tyler Motte,VAN,C,Left,33,4,4,8,0.24,-10,38,0.11,13:07,13.11666667,,RFA,"$975,000",1.20%,0.012,"$975,000",35.93,37.89,33.25,10,9,16,118,37,37
Tyler Johnson,T.B,C,Right,65,14,17,31,0.48,9,113,0.12,14:32,14.53333333,NTC,UFA,"$5,000,000",6.70%,0.067,"$5,500,000",54.72,55.09,55.85,16,20,14,62,43,22
Tyler Ennis,"EDM, OTT",W,Left,70,16,21,37,0.53,-6,159,0.1,14:42,14.7,,UFA,"$800,000",1.00%,0.01,"$800,000",55.04,54.12,58.12,20,19,26,96,110,26
Tyler Bozak,STL,C,Right,67,13,16,29,0.43,0,109,0.12,15:19,15.31666667,M-NTC,UFA,"$5,000,000",6.30%,0.063,"$5,250,000",51.15,50.41,51.77,10,20,29,32,43,33
Tyler Bertuzzi,DET,W,Left,71,21,27,48,0.68,-23,129,0.16,19:18,19.3,,RFA,"$1,400,000",1.80%,0.018,"$1,400,000",54.79,53.97,50.62,40,57,25,71,80,30
Tucker Poolman,WPG,D,Right,57,4,12,16,0.28,-1,64,0.06,17:26,17.43333333,,UFA,"$775,000",1.00%,0.01,"$825,000",45.53,43.99,40.25,24,46,14,58,79,59
Troy Stecher,VAN,D,Right,68,5,12,17,0.25,10,86,0.06,15:20,15.33333333,,UFANo QO,"$2,325,000",2.90%,0.029,"$2,325,000",47.32,47.97,43.94,32,25,16,69,118,70
Troy Brouwer,STL,W,Right,13,1,0,1,0.08,1,12,0.08,9:28,9.466666667,M-NTC,UFA,"$4,500,000",0.90%,0.009,"$4,500,000",42.41,42.26,40.4,7,2,1,24,8,6
Troy Brouwer,STL,W,Right,13,1,0,1,0.08,1,12,0.08,9:28,9.466666667,,UFA,"$750,000",0.90%,0.009,"$750,000",42.41,42.26,40.4,7,2,1,24,8,6
Trevor van Riemsdyk,CAR,D,Right,50,1,7,8,0.16,-7,58,0.02,14:51,14.85,,UFA,"$2,300,000",2.90%,0.029,"$2,500,000",50.83,49.54,49.23,10,17,13,21,33,37
Trevor Moore,"L.A, TOR",C,Left,42,6,4,10,0.24,-4,60,0.1,12:54,12.9,,RFA,"$775,000",1.00%,0.01,"$750,000",46.15,45.38,44.99,6,20,21,60,56,17
Trevor Lewis,L.A,C,Right,57,6,6,12,0.21,-7,92,0.07,11:54,11.9,,UFA,"$2,000,000",2.70%,0.027,"$2,000,000",50.08,50.68,50.36,16,14,11,68,72,22
Trevor Daley,DET,D,Left,44,0,7,7,0.16,-22,37,0,15:39,15.65,M-NTC,UFA,"$3,166,666",4.20%,0.042,"$2,200,000",41.57,41.79,42.02,20,21,5,9,24,44
Travis Zajac,N.J,C,Right,69,9,16,25,0.36,-12,72,0.13,17:05,17.08333333,NTC,UFA,"$5,750,000",8.90%,0.089,"$5,750,000",44.05,44.46,42.94,28,17,36,58,41,39
Travis Sanheim,PHI,D,Left,69,8,17,25,0.36,4,110,0.07,20:09,20.15,,RFA,"$3,250,000",4.00%,0.04,"$3,250,000",50.88,50.31,49.68,32,53,22,41,97,79
Travis Konecny,PHI,W,Right,66,24,37,61,0.92,-1,141,0.17,16:48,16.8,,UFA,"$5,500,000",6.70%,0.067,"$4,000,000",60.71,59.69,60.86,28,47,29,63,100,30
Travis Hamonic,CGY,D,Right,50,3,9,12,0.24,-3,83,0.04,21:11,21.18333333,,UFA,"$3,857,143",6.00%,0.06,"$4,875,000",43.41,42.93,43.39,27,36,21,39,79,110
Travis Boyd,WSH,C,Right,24,3,7,10,0.42,9,26,0.12,11:45,11.75,,UFANo QO,"$800,000",1.00%,0.01,"$800,000",55.31,54.31,51.41,2,6,7,14,26,9
Torey Krug,BOS,D,Left,61,9,40,49,0.8,-4,144,0.06,20:29,20.48333333,M-NTC,UFA,"$5,250,000",7.20%,0.072,"$5,000,000",61.92,60.61,60.5,33,48,22,36,70,48
Tomas Tatar,MTL,W,Left,68,22,39,61,0.9,5,162,0.14,16:17,16.28333333,,UFA,"$5,300,000",7.10%,0.071,"$5,500,000",63.4,62.59,61.06,36,29,31,79,62,24
Tomas Nosek,VGK,W,Left,68,8,7,15,0.22,-2,93,0.09,11:36,11.6,,UFA,"$1,000,000",1.20%,0.012,"$1,000,000",46.54,47.24,45.82,20,16,22,91,108,38
Tomas Jurco,EDM,W,Left,12,0,2,2,0.17,1,7,0,9:58,9.966666667,,UFA,"$750,000",0.90%,0.009,"$750,000",51.46,53.06,52.5,4,2,6,4,20,3
Tomas Hertl,S.J,C,Left,48,16,20,36,0.75,-18,117,0.14,18:26,18.43333333,,UFA,"$5,625,000",7.10%,0.071,"$6,250,000",56.25,54.93,57.84,16,18,25,29,46,25
Tom Wilson,WSH,W,Right,68,21,23,44,0.65,-3,154,0.14,18:16,18.26666667,,UFA,"$5,166,666",6.50%,0.065,"$4,500,000",50.52,50.3,49.26,93,40,25,253,90,58
Tom Kuhnhackl,NYI,W,Left,29,3,3,6,0.21,-4,28,0.11,11:17,11.28333333,,UFA,"$850,000",1.00%,0.01,"$850,000",37.46,39.29,33.06,2,11,4,31,21,22
TJ Brodie,CGY,D,Left,63,4,15,19,0.3,7,65,0.06,20:27,20.45,M-NTC,UFA,"$4,650,400",6.70%,0.067,"$4,838,000",50.12,49.02,50.03,36,52,34,20,88,87
Timo Meier,S.J,W,Left,70,22,27,49,0.7,-22,199,0.11,17:16,17.26666667,,RFA,"$6,000,000",7.40%,0.074,"$4,000,000",56.17,55.75,56.22,42,31,39,155,106,38
Tim Schaller,"L.A, VAN",C,Left,55,5,1,6,0.11,-14,49,0.1,11:34,11.56666667,,UFA,"$1,900,000",2.40%,0.024,"$1,900,000",32.74,34.63,30.24,14,9,14,51,39,28
Tim Heed,S.J,D,Right,38,1,4,5,0.13,-10,44,0.02,13:00,13,,UFA,"$960,000",1.20%,0.012,"$960,000",55.31,54.84,54.39,2,17,10,16,31,30
Teuvo Teravainen,CAR,W,Left,68,15,48,63,0.93,20,182,0.08,19:11,19.18333333,,UFA,"$5,400,000",6.80%,0.068,"$6,250,000",61.51,60.32,61.36,8,44,44,18,39,30
Teddy Blueger,PIT,C,Left,69,9,13,22,0.32,2,102,0.09,15:48,15.8,,RFA,"$750,000",0.90%,0.009,"$750,000",45.62,44.92,45.2,25,22,29,83,107,35
Taylor Hall,"ARI, N.J",W,Left,65,16,36,52,0.8,-14,232,0.07,19:10,19.16666667,,UFA,"$6,000,000",10.00%,0.1,"$6,000,000",55.02,54.67,57.85,34,52,41,47,110,29
Taylor Fedun,DAL,D,Right,27,2,7,9,0.33,3,40,0.05,13:45,13.75,,UFA,"$737,500",0.90%,0.009,"$700,000",50.8,50.56,55.27,8,12,2,16,24,19
Tanner Pearson,VAN,W,Left,69,21,24,45,0.65,-4,164,0.13,16:30,16.5,,UFA,"$3,750,000",5.10%,0.051,"$3,850,000",49.36,49.35,51.2,27,33,37,96,82,40
T.J. Oshie,WSH,W,Right,69,26,23,49,0.71,4,133,0.2,18:17,18.28333333,M-NTC,UFA,"$5,750,000",7.70%,0.077,"$6,500,000",58.07,58.84,61.4,26,45,42,90,80,58
Sven Baertschi,VAN,W,Left,6,0,2,2,0.33,-2,7,0,11:49,11.81666667,,UFA,"$3,366,666",4.20%,0.042,"$3,700,000",68.35,65.66,68.15,4,1,1,5,3,0
Steven Stamkos,T.B,C,Right,57,29,37,66,1.16,14,176,0.16,18:25,18.41666667,NMC,UFA,"$8,500,000",11.60%,0.116,"$9,500,000",56.64,55.7,58.06,22,33,24,69,54,38
Steven Kampfer,BOS,D,Right,10,0,2,2,0.2,2,13,0,13:38,13.63333333,,UFA,"$800,000",1.00%,0.01,"$800,000",53.07,55.15,57.42,2,1,4,15,16,8
Steven Fogarty,NYR,C,Right,7,0,0,0,0,-1,2,0,5:53,5.883333333,,UFA,"$700,000",0.90%,0.009,"$700,000",44.12,41.46,37.07,0,2,2,4,3,4
Stephen Johns,DAL,D,Right,17,2,3,5,0.29,0,30,0.07,17:39,17.65,,UFA,"$2,350,000",3.00%,0.03,"$2,800,000",49.17,48.07,46.87,10,11,5,50,24,20
Stefan Matteau,CBJ,C,Left,9,2,1,3,0.33,0,18,0.11,12:21,12.35,,UFA,"$725,000",0.90%,0.009,"$700,000",45.81,48.28,44.15,5,1,2,27,11,10
Sonny Milano,"ANA, CBJ",W,Left,55,7,16,23,0.42,-7,75,0.09,13:05,13.08333333,,RFA,"$874,125",1.10%,0.011,"$874,125",51.3,52.65,53.19,26,30,22,26,85,13
Slater Koekkoek,CHI,D,Left,42,1,9,10,0.24,3,47,0.02,16:45,16.75,,UFANo QO,"$925,000",1.20%,0.012,"$925,000",49.61,49.31,50.11,42,27,9,64,71,58
Sidney Crosby,PIT,C,Left,41,16,31,47,1.15,-8,109,0.15,20:15,20.25,NMC,UFA,"$8,700,000",14.50%,0.145,"$9,000,000",59.76,59.58,59.5,15,25,26,28,35,17
Sheldon Dries,COL,C,Left,5,0,0,0,0,-2,2,0,6:51,6.85,,RFA,"$735,000",0.90%,0.009,"$735,000",38.33,35.56,29.97,0,1,0,16,4,2
Shea Weber,MTL,D,Right,65,15,21,36,0.55,8,185,0.08,24:00:00,24,,UFA,"$7,857,143",13.10%,0.131,"$6,000,000",51.43,51.19,49.67,33,79,18,112,62,114
Shea Theodore,VGK,D,Left,71,13,33,46,0.65,12,219,0.06,22:14,22.23333333,,UFA,"$5,200,000",6.50%,0.065,"$5,200,000",63.49,62.77,63.04,25,54,55,20,102,69
Shayne Gostisbehere,PHI,D,Left,41,5,7,12,0.29,-4,73,0.07,18:17,18.28333333,,UFA,"$4,500,000",6.20%,0.062,"$5,250,000",58.12,57.86,55.35,20,27,9,14,32,37
Seth Jones,CBJ,D,Right,56,6,24,30,0.54,10,126,0.05,25:16:00,25.26666667,,UFA,"$5,400,000",7.40%,0.074,"$5,400,000",49.57,50.28,50.74,20,37,29,62,92,123
Sebastian Aho,CAR,C,Left,68,38,28,66,0.97,10,206,0.18,19:25,19.41666667,,UFA,"$8,454,000",10.40%,0.104,"$12,000,000",60.55,59.05,58.62,26,58,71,55,68,20
Sean Monahan,CGY,C,Left,70,22,26,48,0.69,-16,166,0.13,18:06,18.1,,UFA,"$6,375,000",8.70%,0.087,"$6,750,000",55.86,54.57,57.11,25,36,43,65,30,22
Sean Kuraly,BOS,C,Left,70,6,17,23,0.33,-2,95,0.06,13:17,13.28333333,,UFA,"$1,275,000",1.60%,0.016,"$1,475,000",41.57,42.26,41.23,34,27,28,145,82,31
Sean Couturier,PHI,C,Left,69,22,37,59,0.86,21,185,0.12,19:49,19.81666667,,UFA,"$4,333,333",6.10%,0.061,"$4,500,000",57.93,56.93,54.86,30,36,40,60,103,26
Scott Wilson,BUF,W,Left,6,1,1,2,0.33,1,8,0.13,11:37,11.61666667,,UFA,"$1,050,000",1.30%,0.013,"$1,100,000",52.17,51.32,49.31,2,0,5,3,7,0
Scott Mayfield,NYI,D,Right,68,5,8,13,0.19,8,98,0.05,19:56,19.93333333,,UFA,"$1,450,000",1.90%,0.019,"$1,200,000",41.76,42,42.84,53,70,21,93,79,117
Scott Laughton,PHI,W,Left,49,13,14,27,0.55,13,74,0.18,14:36,14.6,,UFA,"$2,300,000",2.80%,0.028,"$2,300,000",44.67,44.89,42.53,26,21,22,109,35,26
Scott Harrington,CBJ,D,Left,38,1,7,8,0.21,-3,37,0.03,13:56,13.93333333,,UFA,"$1,633,333",2.00%,0.02,"$1,600,000",45.11,47.57,48.4,16,9,5,46,65,48
Samuel Morin,PHI,D,Left,9,0,0,0,0,-1,0,0,12:32,12.53333333,,RFA,"$700,000",0.90%,0.009,"$700,000",44.83,34.78,13.24,0,2,1,2,4,0
Sami Vatanen,N.J,D,Right,47,5,18,23,0.49,-12,95,0.05,21:45,21.75,,UFA,"$4,875,000",6.80%,0.068,"$4,500,000",51.59,51.99,53.85,22,24,14,50,51,80
Sam Reinhart,BUF,C,Right,69,22,28,50,0.72,-15,144,0.15,20:37,20.61666667,,RFA,"$3,650,000",4.60%,0.046,"$3,750,000",58.22,57.17,53.44,20,33,21,36,81,27
Sam Gagner,"DET, EDM",C,Right,42,6,7,13,0.31,-10,79,0.08,13:20,13.33333333,,UFA,"$3,150,000",4.20%,0.042,"$3,200,000",54.01,54.49,54.29,12,21,12,22,35,10
Sam Carrick,ANA,C,Right,9,1,1,2,0.22,-3,16,0.06,13:46,13.76666667,,UFA,"$700,000",0.90%,0.009,"$700,000",55.71,57.59,56.24,0,5,1,13,21,8
Sam Bennett,CGY,C,Left,52,8,4,12,0.23,-1,82,0.1,12:30,12.5,,RFA,"$2,550,000",3.10%,0.031,"$2,550,000",51.98,50.97,57.19,36,22,19,101,37,13
Ryan Suter,MIN,D,Left,69,8,40,48,0.7,-6,111,0.07,24:38:00,24.63333333,NMC,UFA,"$7,538,461",12.60%,0.126,"$9,000,000",49.95,48.63,51.62,12,27,19,48,28,93
Ryan Strome,NYR,C,Right,70,18,41,59,0.84,21,154,0.12,19:35,19.58333333,,RFA,"$3,100,000",3.90%,0.039,"$3,200,000",49.64,50.02,50.89,48,54,27,45,56,32
Ryan Reaves,VGK,W,Right,71,8,7,15,0.21,-5,61,0.13,10:08,10.13333333,,UFA,"$2,775,000",3.50%,0.035,"$2,775,000",53.45,54.03,54.89,47,7,17,316,87,24
Ryan Pulock,NYI,D,Right,69,10,25,35,0.51,8,163,0.06,22:24,22.4,,RFA,"$2,000,000",2.50%,0.025,"$2,650,000",45.71,47.33,49.44,14,64,15,110,101,139
Ryan O'Reilly,STL,C,Left,71,12,49,61,0.86,11,118,0.1,20:34,20.56666667,,UFA,"$7,500,000",10.50%,0.105,"$6,000,000",53.08,52.47,51.05,10,22,69,16,43,42
Ryan Nugent-Hopkins,EDM,C,Left,65,22,39,61,0.94,1,172,0.13,20:28,20.46666667,,UFA,"$6,000,000",9.30%,0.093,"$6,000,000",53.17,53.65,54.88,33,39,54,33,65,44
Ryan Murray,CBJ,D,Left,27,2,7,9,0.33,-9,32,0.06,19:57,19.95,,UFA,"$4,600,000",5.60%,0.056,"$4,500,000",46.26,48.74,49.28,4,15,6,12,27,50
Ryan McDonagh,T.B,D,Left,50,1,11,12,0.24,7,50,0.02,20:42,20.7,NTC,UFA,"$6,750,000",8.50%,0.085,"$8,400,000",42.31,42.52,42.44,19,32,25,36,41,101
Ryan MacInnis,CBJ,C,Left,10,0,1,1,0.1,1,13,0,9:21,9.35,,RFA,"$874,125",1.10%,0.011,"$874,125",41.51,46.67,52.41,0,2,3,8,11,3
Ryan Johansen,NSH,C,Right,68,14,22,36,0.53,-5,101,0.14,17:03,17.05,,UFA,"$8,000,000",10.70%,0.107,"$8,000,000",55.88,55.62,56.4,45,24,38,39,51,34
Ryan Hartman,MIN,W,Right,69,9,11,20,0.29,4,114,0.08,12:15,12.25,,RFA,"$1,900,000",2.30%,0.023,"$1,900,000",49.9,50.7,50.96,69,14,34,44,51,54
Ryan Graves,COL,D,Left,68,9,17,26,0.38,40,134,0.07,18:56,18.93333333,,RFA,"$735,000",0.90%,0.009,"$735,000",43.93,44.58,43.25,45,40,19,112,81,150
Ryan Getzlaf,ANA,C,Right,69,13,29,42,0.61,-16,143,0.09,18:43,18.71666667,NMC,UFA,"$8,250,000",12.80%,0.128,"$8,275,000",52.58,52.87,52.83,58,76,53,125,47,69
Ryan Ellis,NSH,D,Right,49,8,30,38,0.78,16,114,0.07,23:30,23.5,,UFA,"$6,250,000",7.90%,0.079,"$7,700,000",52.67,53.94,56.76,19,36,24,48,55,96
Ryan Dzingel,CAR,C,Left,64,8,21,29,0.45,3,98,0.08,14:09,14.15,,UFA,"$3,375,000",4.10%,0.041,"$3,250,000",56.57,56,56.94,30,19,15,36,34,25
Ryan Donato,MIN,C,Left,62,14,9,23,0.37,5,95,0.15,10:38,10.63333333,,RFA,"$1,900,000",2.30%,0.023,"$1,650,000",54.03,54.47,58.12,12,13,21,53,72,14
Ryan Carpenter,CHI,C,Right,68,3,12,15,0.22,-6,80,0.04,14:04,14.06666667,,UFA,"$1,000,000",1.20%,0.012,"$1,000,000",41.62,42.53,38.87,28,29,30,117,85,48
Ross Johnston,NYI,W,Left,31,3,1,4,0.13,1,16,0.19,7:59,7.983333333,,UFA,"$1,000,000",1.30%,0.013,"$1,000,000",40.86,41.23,46.21,78,4,2,93,22,14
Roman Polak,DAL,D,Right,40,0,4,4,0.1,-6,34,0,16:39,16.65,,UFA,"$1,750,000",2.20%,0.022,"$1,750,000",36.15,37.74,35.72,24,22,4,104,36,94
