name,Team_y,Position_y,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh_perc,TOI_x,TOI_dec,CLAUSE,EXPIRY,CAPHIT,CAP HIT %,cap_hit_perc,SALARY,CF_perc,FF_perc,xGF_perc,PIM,Giveaways,Takeaways,Hits,Hits Taken,blocked_shots
Roman Josi,NSH,D,Left,69,16,49,65,0.94,22,260,0.06,25:46:00,25.76666667,,UFA,"$4,000,000",6.20%,0.062,"$4,000,000",55.41,55.75,57.01,41,68,34,52,107,108
Rocco Grimaldi,NSH,W,Right,66,10,21,31,0.47,10,122,0.08,12:38,12.63333333,,UFA,"$1,000,000",1.20%,0.012,"$1,000,000",51.83,52.6,52.98,10,20,27,23,46,14
Robert Hagg,PHI,D,Left,48,3,10,13,0.27,14,38,0.08,15:35,15.58333333,,RFA,"$1,150,000",1.40%,0.014,"$1,300,000",43.03,44.2,42.66,30,31,6,136,81,79
Robert Bortuzzo,STL,D,Right,43,2,4,6,0.14,12,36,0.06,13:07,13.11666667,,UFA,"$1,375,000",1.70%,0.017,"$1,375,000",42.01,42.01,37.16,21,10,2,66,34,43
Robby Fabbri,"DET, STL",C,Left,62,15,17,32,0.52,-33,111,0.14,16:08,16.13333333,,RFA,"$900,000",1.10%,0.011,"$900,000",50.26,48.83,45.11,20,39,13,75,93,14
Riley Sheahan,EDM,C,Left,65,8,7,15,0.23,-13,70,0.11,12:47,12.78333333,,UFA,"$900,000",1.10%,0.011,"$900,000",35.95,37.36,37.13,6,25,36,26,59,33
Riley Nash,CBJ,C,Right,64,5,9,14,0.22,6,64,0.08,11:50,11.83333333,,UFA,"$2,750,000",3.50%,0.035,"$2,750,000",41.99,44.09,45.3,10,10,25,68,85,36
Riley Barber,MTL,W,Right,9,0,0,0,0,-1,6,0,8:15,8.25,,UFAGroup 6,"$700,000",0.90%,0.009,"$700,000",51.06,53.4,58.21,2,2,0,15,17,1
Rickard Rakell,ANA,W,Right,65,15,27,42,0.65,-5,186,0.08,18:09,18.15,,UFA,"$3,789,444",5.20%,0.052,"$3,800,000",54.17,54.19,55.54,12,42,30,81,83,29
Richard Panik,WSH,W,Left,59,9,13,22,0.37,16,67,0.13,11:20,11.33333333,,UFA,"$2,750,000",3.40%,0.034,"$3,200,000",53.85,52.38,51.85,36,29,21,75,59,19
Reilly Smith,VGK,W,Left,71,27,27,54,0.76,17,169,0.16,17:54,17.9,M-NTC,UFA,"$5,000,000",6.80%,0.068,"$5,000,000",53.8,53.59,52.79,20,41,58,55,90,30
Rasmus Ristolainen,BUF,D,Right,69,6,27,33,0.48,-2,128,0.05,22:47,22.78333333,,UFA,"$5,400,000",7.40%,0.074,"$5,400,000",46.61,46.11,45.17,46,24,17,203,146,82
Radko Gudas,WSH,D,Right,63,2,13,15,0.24,15,90,0.02,16:43,16.71666667,,UFA,"$3,350,000",4.60%,0.046,"$2,500,000",45.5,45.41,42.62,40,34,23,164,81,75
Radek Faksa,DAL,C,Left,67,11,9,20,0.3,-6,109,0.1,15:53,15.88333333,,RFA,"$2,200,000",2.90%,0.029,"$2,400,000",47.51,46.6,50.28,42,27,34,84,100,44
Phillip Danault,MTL,C,Left,71,13,34,47,0.66,18,131,0.1,18:50,18.83333333,,UFA,"$3,083,333",3.90%,0.039,"$3,000,000",55.24,54.06,53.21,32,50,34,119,92,37
Phil Kessel,ARI,W,Right,70,14,24,38,0.54,-21,153,0.09,17:08,17.13333333,"M-NTC, NMC",UFA,"$8,000,000",12.40%,0.124,"$7,000,000",55.11,53.64,56.06,22,41,19,11,42,20
Pavel Zacha,N.J,C,Left,65,8,24,32,0.49,-12,97,0.08,16:16,16.26666667,,RFA,"$2,250,000",2.80%,0.028,"$1,750,000",43.89,45.09,44.66,14,31,35,62,53,19
Pavel Buchnevich,NYR,W,Left,68,16,30,46,0.68,2,148,0.11,16:55,16.91666667,,RFA,"$3,250,000",4.00%,0.04,"$3,000,000",56.01,56.57,56.24,24,64,38,80,99,22
Paul Stastny,VGK,C,Left,70,17,21,38,0.54,6,136,0.13,17:07,17.11666667,M-NTC,UFA,"$6,500,000",8.20%,0.082,"$6,500,000",59.16,59.17,59.38,24,18,41,63,45,32
Paul LaDue,L.A,D,Right,2,0,1,1,0.5,0,2,0,12:48,12.8,,UFA,"$825,000",1.00%,0.01,"$850,000",55.1,48.48,49.13,0,1,1,2,4,3
Paul Carey,BOS,C,Left,1,0,0,0,0,-1,0,0,6:22,6.366666667,,UFA,"$700,000",0.90%,0.009,"$700,000",21.43,23.08,11.62,0,0,0,0,1,1
Paul Byron,MTL,W,Left,29,4,6,10,0.34,5,29,0.14,14:19,14.31666667,,UFA,"$3,400,000",4.30%,0.043,"$4,000,000",48.68,47.32,45.06,4,10,11,42,26,18
Paul Byron,DET,D,Left,64,1,8,9,0.14,-10,89,0.01,22:02,22.03333333,,UFA,"$3,000,000",3.70%,0.037,"$3,200,000",41.89,41.96,38.66,28,54,10,80,107,92
Patrik Laine,WPG,W,Right,68,28,35,63,0.93,8,226,0.12,19:24,19.4,,RFA,"$6,750,000",8.30%,0.083,"$6,000,000",55.64,54.55,54.81,22,57,41,97,54,35
Patrick Russell,EDM,W,Right,45,0,5,5,0.11,-11,58,0,11:21,11.35,,UFA,"$700,000",0.90%,0.009,"$700,000",44.52,45.29,50.26,12,13,9,64,70,25
Patrick Kane,CHI,W,Left,70,33,51,84,1.2,8,275,0.12,21:20,21.33333333,NMC,UFA,"$10,500,000",15.20%,0.152,"$9,800,000",55.24,54.37,53.52,40,41,43,24,60,19
Patrice Bergeron,BOS,C,Right,61,31,25,56,0.92,23,203,0.15,18:43,18.71666667,NMC,UFA,"$6,875,000",10.70%,0.107,"$4,375,000",59.86,59.66,63.57,28,22,44,46,51,46
Patric Hornqvist,PIT,W,Right,52,17,15,32,0.62,9,168,0.1,15:55,15.91666667,NTC,UFA,"$5,300,000",7.10%,0.071,"$5,300,000",58.45,59.06,64.29,36,8,12,107,102,41
Par Lindholm,BOS,C,Left,40,3,3,6,0.15,6,35,0.09,11:14,11.23333333,,UFA,"$850,000",1.00%,0.01,"$850,000",45.35,45.86,43,4,13,14,23,41,26
P.K. Subban,N.J,D,Right,69,7,11,18,0.26,-21,151,0.05,22:07,22.11666667,,UFA,"$9,000,000",13.00%,0.13,"$10,000,000",49.13,49.88,49.99,79,65,19,88,72,90
Oskar Sundqvist,STL,C,Right,58,12,11,23,0.4,5,97,0.12,14:22,14.36666667,,UFA,"$2,750,000",3.40%,0.034,"$2,250,000",45.19,45.35,46.86,28,11,36,60,75,26
Oscar Klefbom,EDM,D,Left,62,5,29,34,0.55,-17,159,0.03,25:24:00,25.4,,UFA,"$4,167,000",5.70%,0.057,"$4,500,000",48.62,49.64,51.36,24,58,36,45,132,180
Oscar Fantenberg,VAN,D,Left,35,1,5,6,0.17,-10,45,0.02,15:54,15.9,,UFA,"$850,000",1.00%,0.01,"$850,000",40.86,41.98,38.9,6,11,7,67,56,62
Ondrej Palat,T.B,W,Left,69,17,24,41,0.59,25,128,0.13,16:11,16.18333333,NTC,UFA,"$5,300,000",7.10%,0.071,"$5,300,000",53.72,53.44,54.06,22,34,41,145,82,61
Ondrej Kase,"ANA, BOS",W,Right,55,7,17,24,0.44,-7,144,0.05,16:32,16.53333333,,RFA,"$2,600,000",3.30%,0.033,"$2,600,000",55.88,55.06,51.91,14,30,41,13,64,17
Olli Maatta,CHI,D,Left,65,4,13,17,0.26,0,80,0.05,18:25,18.41666667,,UFA,"$4,083,333",5.70%,0.057,"$4,083,300",45.19,45.11,44.27,20,57,22,119,165,110
Oliver Ekman-Larsson,ARI,D,Left,67,9,21,30,0.45,-3,135,0.07,23:00,23,NMC,UFA,"$8,250,000",10.40%,0.104,"$8,000,000",48.28,47.22,47.93,38,45,19,129,118,65
Oliver Bjorkstrand,CBJ,W,Right,49,21,15,36,0.73,8,162,0.13,17:56,17.93333333,,RFA,"$2,500,000",3.10%,0.031,"$2,500,000",58.66,60.19,65.22,12,27,32,43,83,16
Noel Acciari,FLA,C,Right,66,20,7,27,0.41,2,108,0.19,15:57,15.95,M-NTC,UFA,"$1,666,667",2.00%,0.02,"$2,000,000",40.61,42.24,38.02,21,21,32,121,83,103
Noah Hanifin,CGY,D,Left,71,5,17,22,0.31,-12,132,0.04,21:10,21.16666667,,UFA,"$4,950,000",6.20%,0.062,"$4,950,000",50.19,48.71,49.29,12,63,38,82,46,89
Nino Niederreiter,CAR,W,Left,67,11,18,29,0.43,-3,115,0.1,14:49,14.81666667,,UFA,"$5,250,000",7.00%,0.07,"$5,850,000",60.37,59.05,56.88,42,42,35,52,90,19
Nikolay Goldobin,VAN,W,Left,1,0,0,0,0,0,0,0,8:37,8.616666667,,UFANo QO,"$900,000",1.10%,0.011,"$900,000",7.69,10,10,0,0,0,1,1,0
Nikolaj Ehlers,WPG,W,Left,71,25,33,58,0.82,14,203,0.12,16:31,16.51666667,,UFA,"$6,000,000",8.00%,0.08,"$6,500,000",57.21,55.74,51.74,30,39,32,36,84,28
Niklas Hjalmarsson,ARI,D,Left,26,1,4,5,0.19,-2,18,0.06,18:45,18.75,NMC,UFA,"$5,000,000",6.30%,0.063,"$6,000,000",41.81,42.13,37.38,14,20,11,20,29,45
Nikita Zaitsev,OTT,D,Right,57,1,11,12,0.21,-8,64,0.02,22:09,22.15,M-NTC,UFA,"$4,500,000",6.20%,0.062,"$4,500,000",40.6,40.87,39.42,22,44,20,108,86,121
Nikita Zadorov,COL,D,Left,65,4,9,13,0.2,6,65,0.06,17:46,17.76666667,,RFA,"$3,200,000",3.90%,0.039,"$3,200,000",46.47,46.34,45.44,65,35,23,175,65,66
Nikita Kucherov,T.B,W,Left,68,33,52,85,1.25,26,210,0.16,18:51,18.85,,UFA,"$9,500,000",11.90%,0.119,"$12,000,000",61.76,61.34,63.06,38,59,30,37,70,19
Nikita Gusev,N.J,W,Right,66,13,31,44,0.67,-15,158,0.08,14:41,14.68333333,,UFA,"$4,500,000",5.50%,0.055,"$5,000,000",54.94,55.25,55.82,12,40,22,12,26,7
Nicolas Deslauriers,ANA,W,Left,59,7,6,13,0.22,-1,64,0.11,9:46,9.766666667,,UFA,"$950,000",1.30%,0.013,"$950,000",44.19,44.99,42.44,92,10,10,137,55,32
Nicolas Aube-Kubel,PHI,W,Right,36,7,8,15,0.42,1,48,0.15,11:17,11.28333333,,RFA,"$700,000",0.90%,0.009,"$700,000",51.14,54.22,55.41,19,9,13,82,47,16
Nico Sturm,MIN,C,Left,6,0,2,2,0.33,2,2,0,11:53,11.88333333,,RFA,"$874,125",1.10%,0.011,"$874,125",45.9,48.1,52.37,0,1,1,6,8,5
Nicklas Backstrom,WSH,C,Left,61,12,42,54,0.89,-1,132,0.09,19:01,19.01666667,M-NTC,UFA,"$6,700,000",11.30%,0.113,"$8,000,000",59.76,60.21,61.41,14,42,34,30,43,45
Nick Shore,"TOR, WPG",C,Right,60,3,3,6,0.1,1,45,0.07,9:10,9.166666667,,UFA,"$750,000",0.90%,0.009,"$750,000",37.41,37.21,30.16,20,16,14,55,38,20
Nick Seeler,"CHI, MIN",D,Left,13,0,1,1,0.08,-8,5,0,11:56,11.93333333,,UFA,"$725,000",0.90%,0.009,"$750,000",38.25,40.38,39.37,15,7,1,19,18,21
Nick Schmaltz,ARI,C,Right,70,11,34,45,0.64,3,95,0.12,15:32,15.53333333,,UFA,"$5,850,000",7.40%,0.074,"$3,000,000",54.72,53.66,52,20,27,52,12,57,35
Nick Ritchie,"ANA, BOS",W,Left,48,9,12,21,0.44,1,78,0.12,14:08,14.13333333,,RFA,"$1,498,925",2.10%,0.021,"$1,400,000",55.81,56.07,57.17,97,20,11,102,47,17
Nick Leddy,NYI,D,Left,60,3,18,21,0.35,-1,72,0.04,21:06,21.1,,UFA,"$5,500,000",8.00%,0.08,"$6,000,000",45.84,45.88,47.09,14,52,17,62,69,72
Nick Jensen,WSH,D,Right,67,0,8,8,0.12,1,61,0,17:49,17.81666667,,UFA,"$2,500,000",3.10%,0.031,"$3,000,000",47.27,47.73,44.57,13,48,26,59,129,71
Nick Holden,VGK,D,Left,61,6,8,14,0.23,-1,101,0.06,18:51,18.85,,UFA,"$2,200,000",2.80%,0.028,"$1,800,000",52.21,52.3,51.99,13,35,26,129,123,74
Nick Foligno,CBJ,W,Left,67,10,21,31,0.46,-3,131,0.08,18:40,18.66666667,"M-NTC, NMC",UFA,"$5,500,000",8.00%,0.08,"$5,500,000",50.85,53.48,52.76,62,35,39,212,54,50
Nick Cousins,"MTL, VGK",C,Left,66,10,15,25,0.38,0,115,0.09,13:30,13.5,,UFANo QO,"$1,000,000",1.20%,0.012,"$1,000,000",57.43,58.46,61.88,35,21,29,91,124,31
Nick Bonino,NSH,C,Left,67,18,17,35,0.52,17,104,0.17,16:31,16.51666667,,UFA,"$4,100,000",5.50%,0.055,"$4,100,000",46.16,48.16,50.22,16,22,47,17,48,89
Nick Bjugstad,PIT,C,Right,13,1,1,2,0.15,3,18,0.06,12:14,12.23333333,,UFA,"$4,100,000",5.90%,0.059,"$5,000,000",52.03,53.92,52.32,8,5,3,19,15,7
Nic Dowd,WSH,C,Right,56,7,8,15,0.27,11,52,0.13,10:50,10.83333333,,UFA,"$750,000",0.90%,0.009,"$700,000",46.18,47.51,44.31,28,7,22,117,70,26
Neal Pionk,WPG,D,Right,71,6,39,45,0.63,10,177,0.03,23:22,23.36666667,,RFA,"$3,000,000",3.70%,0.037,"$2,850,000",55.35,54.23,54.85,32,62,31,165,110,78
Nazem Kadri,COL,C,Left,51,19,17,36,0.71,7,133,0.14,17:25,17.41666667,M-NTC,UFA,"$4,500,000",6.30%,0.063,"$4,500,000",58.9,57.59,58.4,97,28,21,61,73,9
Nathan Walker,STL,W,Left,5,1,1,2,0.4,-2,6,0.17,11:07,11.11666667,,UFA,"$700,000",0.90%,0.009,"$700,000",59.13,53.41,50.92,4,1,0,10,4,1
Nathan MacKinnon,COL,C,Right,69,35,58,93,1.35,13,318,0.11,21:13,21.21666667,,UFA,"$6,300,000",8.60%,0.086,"$6,750,000",60.27,60.28,63.59,12,53,38,51,81,31
Nathan Beaulieu,WPG,D,Left,38,1,7,8,0.21,15,38,0.03,16:59,16.98333333,,UFA,"$1,000,000",1.20%,0.012,"$1,000,000",39.5,40.57,36.66,29,23,6,62,34,47
Nate Thompson,"MTL, PHI",C,Left,71,4,11,15,0.21,-1,67,0.06,12:47,12.78333333,,UFA,"$1,000,000",1.30%,0.013,"$1,000,000",40.93,42.01,37.96,30,33,25,118,83,50
Nate Schmidt,VGK,D,Left,58,7,24,31,0.53,11,112,0.06,21:40,21.66666667,M-NTC,UFA,"$5,950,000",7.50%,0.075,"$8,800,000",51.74,51.83,51.28,12,39,33,25,52,91
Morgan Rielly,TOR,D,Left,47,3,24,27,0.57,6,123,0.02,24:12:00,24.2,,UFA,"$5,000,000",7.00%,0.07,"$5,000,000",52.36,51.3,51.91,24,42,17,38,81,67
Mitchell Marner,TOR,W,Right,59,16,51,67,1.14,6,154,0.1,21:33,21.55,,UFA,"$10,893,000",13.40%,0.134,"$16,000,000",53.72,54.03,56.83,16,71,64,24,55,37
Mirco Mueller,N.J,D,Left,50,2,5,7,0.14,-13,29,0.07,17:38,17.63333333,,UFANo QO,"$1,400,000",1.70%,0.017,"$1,400,000",41.21,42.35,39.6,23,27,9,63,73,91
Miles Wood,N.J,W,Left,68,11,12,23,0.34,-19,141,0.08,13:14,13.23333333,,RFA,"$2,750,000",3.50%,0.035,"$2,500,000",44.92,45.18,46.45,57,22,15,102,98,26
Milan Lucic,CGY,W,Left,69,8,12,20,0.29,-6,83,0.1,13:19,13.31666667,NMC,UFA,"$6,000,000",8.20%,0.082,"$6,000,000",54.5,54.29,55.97,54,42,19,198,87,20
Mikko Rantanen,COL,W,Left,42,19,22,41,0.98,-2,107,0.18,18:56,18.93333333,,UFA,"$9,250,000",11.30%,0.113,"$12,000,000",58.85,59.06,60.34,14,16,34,28,85,23
Mikkel Boedker,OTT,W,Left,20,2,2,4,0.2,-1,29,0.07,9:42,9.7,,UFA,"$4,000,000",5.50%,0.055,"$3,000,000",45.29,46.22,41.27,0,8,1,12,12,5
Mike Reilly,"MTL, OTT",D,Left,44,1,15,16,0.36,-6,85,0.01,18:01,18.01666667,,UFA,"$1,500,000",1.80%,0.018,"$1,500,000",55.26,55.17,55.29,24,39,9,39,68,46
Mike Hoffman,FLA,W,Left,69,29,30,59,0.86,-5,214,0.14,16:50,16.83333333,M-NTC,UFA,"$5,187,500",7.10%,0.071,"$5,650,000",60.16,58.43,58.02,28,52,31,33,51,22
Mike Green,"DET, EDM",D,Right,50,3,8,11,0.22,-34,76,0.04,20:52,20.86666667,M-NTC,UFA,"$5,375,000",6.80%,0.068,"$5,250,000",50.11,51.02,50.86,32,41,12,61,76,66
Mikael Granlund,NSH,C,Left,63,17,13,30,0.48,-4,130,0.13,17:48,17.8,,UFA,"$5,750,000",7.70%,0.077,"$6,500,000",55.57,55.93,58.53,28,34,24,42,86,55
Mikael Backlund,CGY,C,Left,70,16,29,45,0.64,3,157,0.1,17:56,17.93333333,NTC,UFA,"$5,350,000",7.10%,0.071,"$5,850,000",50.33,49.76,49.65,26,55,64,44,54,11
Mika Zibanejad,NYR,C,Right,57,41,34,75,1.32,9,208,0.2,21:37,21.61666667,NMC,UFA,"$5,350,000",7.10%,0.071,"$5,350,000",51.74,51.5,47.1,14,43,42,51,86,49
Miikka Salomaki,NSH,W,Left,5,1,0,1,0.2,2,2,0.5,12:08,12.13333333,,UFA,"$750,000",0.90%,0.009,"$750,000",42.68,44.44,50.72,4,3,1,9,6,3
Micheal Haley,NYR,C,Left,20,1,0,1,0.05,-7,9,0.11,5:31,5.516666667,,UFA,"$700,000",0.90%,0.009,"$700,000",36.6,38.51,35.31,50,5,1,36,12,6
Micheal Ferland,VAN,W,Left,14,1,4,5,0.36,-3,15,0.07,9:47,9.783333333,NMC,UFA,"$3,500,000",4.30%,0.043,"$4,500,000",46.29,46.67,41.43,7,1,2,40,8,2
Michal Kempny,WSH,D,Left,58,3,15,18,0.31,19,73,0.04,18:38,18.63333333,,UFA,"$2,500,000",3.10%,0.031,"$2,700,000",48.23,48.17,48.68,22,35,13,42,79,72
Michael Stone,CGY,D,Right,33,2,5,7,0.21,-5,57,0.04,16:19,16.31666667,M-NTC,UFA,"$3,500,000",0.90%,0.009,"$3,500,000",42.17,41.55,36.88,16,9,6,52,42,54
Michael Raffl,PHI,W,Left,59,8,12,20,0.34,-2,66,0.12,12:22,12.36666667,,UFA,"$1,600,000",2.00%,0.02,"$1,800,000",46.26,46.73,43.7,14,23,19,73,76,25
Michael Frolik,"BUF, CGY",W,Left,56,6,8,14,0.25,-12,70,0.09,12:26,12.43333333,M-NTC,UFA,"$4,300,000",5.90%,0.059,"$3,000,000",44.71,43.48,38.88,28,28,32,32,71,22
Michael Del Zotto,ANA,D,Left,48,2,13,15,0.31,5,57,0.04,18:42,18.7,,UFA,"$750,000",0.90%,0.009,"$750,000",45.85,45.53,44.58,14,33,9,101,44,55
Michael Dal Colle,NYI,W,Left,53,4,6,10,0.19,-8,59,0.07,11:47,11.78333333,,RFA,"$700,000",0.90%,0.009,"$700,000",44.24,43.42,45.6,12,18,10,81,41,21
Melker Karlsson,S.J,C,Right,60,6,6,12,0.2,-7,56,0.11,12:16,12.26666667,,UFA,"$2,000,000",2.70%,0.027,"$2,000,000",38.84,38.26,35.42,20,11,26,38,49,39
Max Pacioretty,VGK,W,Left,71,32,34,66,0.93,18,307,0.1,17:54,17.9,M-NTC,UFA,"$7,000,000",8.80%,0.088,"$10,500,000",63.92,64.86,65.63,44,55,32,90,134,35
Max Domi,MTL,C,Left,71,17,27,44,0.62,-3,179,0.1,17:05,17.08333333,,RFA,"$3,150,000",4.20%,0.042,"$3,150,000",57.8,56.37,57.59,35,64,42,32,58,13
Mattias Janmark,DAL,C,Left,62,6,15,21,0.34,-5,86,0.07,14:37,14.61666667,,UFA,"$2,300,000",2.90%,0.029,"$2,300,000",47.95,48.22,49.23,12,31,27,22,63,37
Mattias Ekholm,NSH,D,Left,67,8,25,33,0.49,-1,154,0.05,23:22,23.36666667,,UFA,"$3,750,000",5.30%,0.053,"$4,000,000",46.84,47.53,45.82,32,50,51,49,76,100
Matthew Tkachuk,CGY,W,Left,69,23,38,61,0.88,-5,188,0.12,18:18,18.3,,RFA,"$7,000,000",8.60%,0.086,"$5,000,000",58.45,57.63,58.39,74,86,40,122,83,22
Matthew Peca,"MTL, OTT",C,Left,14,0,2,2,0.14,-4,7,0,10:26,10.43333333,,UFA,"$1,300,000",1.60%,0.016,"$1,300,000",48.04,47.32,46.34,0,1,0,15,13,4
Matthew Benning,EDM,D,Right,42,1,7,8,0.19,8,38,0.03,13:13,13.21666667,,UFANo QO,"$1,900,000",2.50%,0.025,"$2,000,000",46.61,47.68,48.18,15,19,12,78,79,34
Matt Tennyson,N.J,D,Right,20,0,3,3,0.15,-2,14,0,12:08,12.13333333,,UFA,"$700,000",0.90%,0.009,"$700,000",46.06,47.09,48.6,6,8,2,27,32,18
Matt Niskanen,PHI,D,Right,67,8,25,33,0.49,15,126,0.06,21:54,21.9,M-NTC,UFA,"$5,750,000",8.30%,0.083,"$5,750,000",51.25,51.59,50.35,29,56,14,124,102,84
Matt Nieto,COL,W,Left,70,8,13,21,0.3,7,85,0.09,13:30,13.5,,UFA,"$1,975,000",2.50%,0.025,"$1,975,000",43.71,43.23,38.79,6,17,19,37,89,23
Matt Martin,NYI,W,Left,53,5,3,8,0.15,-1,49,0.1,10:25,10.41666667,,UFA,"$2,500,000",3.40%,0.034,"$1,750,000",43.32,42.57,45.44,40,17,11,242,69,24
Matt Grzelcyk,BOS,D,Left,68,4,17,21,0.31,15,112,0.04,18:03,18.05,,RFA,"$1,400,000",1.90%,0.019,"$1,400,000",53.06,54.24,58.76,34,39,22,56,108,67
Matt Dumba,MIN,D,Right,69,6,18,24,0.35,-7,167,0.04,22:29,22.48333333,,UFA,"$6,000,000",7.50%,0.075,"$7,400,000",51.26,51.5,52.05,41,35,20,98,78,88
Matt Duchene,NSH,C,Left,66,13,29,42,0.64,-4,136,0.1,16:52,16.86666667,,UFA,"$8,000,000",9.80%,0.098,"$10,000,000",60.62,60.16,59.91,24,36,31,40,70,22
Matt Calvert,COL,W,Left,50,12,13,25,0.5,13,89,0.13,14:05,14.08333333,,UFA,"$2,850,000",3.60%,0.036,"$2,925,000",47.31,47.19,45.52,39,13,21,58,77,22
Mats Zuccarello,MIN,W,Left,65,15,22,37,0.57,-9,96,0.16,15:56,15.93333333,NMC,UFA,"$6,000,000",7.40%,0.074,"$5,000,000",52.31,52.69,54.35,18,17,33,13,50,36
Mathieu Perreault,WPG,W,Left,48,7,8,15,0.31,-9,71,0.1,13:06,13.1,M-NTC,UFA,"$4,125,000",5.70%,0.057,"$4,000,000",53.21,51.84,49.27,10,11,17,69,18,19
Markus Nutivaara,CBJ,D,Left,38,3,6,9,0.24,2,47,0.06,15:55,15.91666667,,UFA,"$2,700,000",3.60%,0.036,"$2,500,000",50,50.93,50.77,4,13,6,35,36,33
Markus Granlund,EDM,C,Left,33,3,1,4,0.12,-1,26,0.12,10:49,10.81666667,,UFA,"$1,300,000",1.60%,0.016,"$1,300,000",43.73,43.38,41.52,14,7,11,15,33,18
