name,Team_y,Position_y,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh_perc,TOI_x,TOI_dec,CLAUSE,EXPIRY,CAPHIT,CAP HIT %,cap_hit_perc,SALARY,CF_perc,FF_perc,xGF_perc,PIM,Giveaways,Takeaways,Hits,Hits Taken,blocked_shots
Charlie McAvoy,BOS,D,Right,67,5,27,32,0.48,24,101,0.05,23:09,23.15,,RFA,"$4,900,000",6.00%,0.06,"$3,700,000",50.81,51.47,53,41,68,37,131,177,131
Charlie Coyle,BOS,C,Right,70,16,21,37,0.53,9,145,0.11,16:47,16.78333333,,UFA,"$3,200,000",4.60%,0.046,"$4,250,000",53.88,53.9,57.34,21,33,48,83,79,34
Charles Hudon,MTL,W,Left,15,1,1,2,0.13,-9,22,0.05,11:32,11.53333333,,RFA,"$800,000",1.00%,0.01,"$800,000",55.59,53.42,49.87,0,2,5,25,18,2
Chandler Stephenson,"VGK, WSH",C,Left,65,11,15,26,0.4,24,73,0.15,14:19,14.31666667,,RFA,"$1,050,000",1.30%,0.013,"$1,050,000",53.08,54.49,54.11,16,22,37,52,73,32
Chad Ruhwedel,PIT,D,Right,40,2,4,6,0.15,4,44,0.05,14:46,14.76666667,,UFA,"$700,000",0.90%,0.009,"$700,000",46.78,47.38,46.96,12,17,7,74,54,25
Cedric Paquette,T.B,C,Left,60,7,11,18,0.3,-1,78,0.09,13:03,13.05,,UFA,"$1,650,000",2.00%,0.02,"$1,650,000",43.57,43.48,42.03,42,9,17,175,55,49
Casey Cizikas,NYI,C,Left,48,10,4,14,0.29,12,67,0.15,14:17,14.28333333,,UFA,"$3,350,000",4.60%,0.046,"$3,750,000",39.38,40.93,43.66,41,28,38,133,75,39
Carter Rowney,ANA,C,Right,70,8,11,19,0.27,5,63,0.13,12:49,12.81666667,,UFA,"$1,133,333",1.40%,0.014,"$1,000,000",37.26,38.09,36.25,14,26,24,189,66,42
Carson Soucy,MIN,D,Left,56,7,7,14,0.25,16,61,0.11,15:37,15.61666667,,UFAGroup 6,"$750,000",0.90%,0.009,"$750,000",44.62,45.58,46.89,18,16,17,69,59,50
Carl Soderberg,ARI,C,Left,70,17,18,35,0.5,6,135,0.13,15:53,15.88333333,M-NTC,UFA,"$4,750,000",6.50%,0.065,"$4,000,000",49.15,49.36,51.23,18,24,28,77,68,41
Carl Hagelin,WSH,W,Left,58,8,17,25,0.43,12,107,0.07,14:19,14.31666667,,UFA,"$2,750,000",3.50%,0.035,"$3,500,000",46.2,46.96,42.19,16,24,24,24,43,19
Carl Gunnarsson,STL,D,Left,37,2,5,7,0.19,8,31,0.06,15:46,15.76666667,M-NTC,UFA,"$1,750,000",2.10%,0.021,"$1,750,000",42.49,42.8,39.96,16,14,3,27,49,51
Carl Dahlstrom,WPG,D,Left,14,0,1,1,0.07,-4,9,0,14:45,14.75,,RFA,"$850,000",1.10%,0.011,"$800,000",48.96,48.46,45.7,6,14,4,5,16,13
Cameron Gaunce,T.B,D,Left,3,1,3,4,1.33,2,5,0.2,11:52,11.86666667,,UFA,"$700,000",0.90%,0.009,"$700,000",51.79,54.55,62.09,4,0,0,5,4,2
Cam Fowler,ANA,D,Left,59,9,20,29,0.49,0,117,0.08,21:59,21.98333333,M-NTC,UFA,"$6,500,000",8.70%,0.087,"$7,500,000",55.05,54.49,55.14,20,31,21,25,61,58
Cam Atkinson,CBJ,W,Right,44,12,14,26,0.59,2,148,0.08,17:50,17.83333333,NTC,UFA,"$5,875,000",7.80%,0.078,"$7,375,000",51.42,52.59,54.18,6,21,26,18,18,21
Calle Rosen,"COL, TOR",D,Left,12,0,3,3,0.25,0,14,0,13:34,13.56666667,,UFA,"$750,000",0.90%,0.009,"$750,000",50.31,49.39,47.12,4,8,2,3,8,7
Calle Jarnkrok,NSH,C,Right,64,15,19,34,0.53,4,136,0.11,15:56,15.93333333,,UFA,"$2,000,000",2.70%,0.027,"$2,200,000",52.37,52.54,51.76,14,11,19,28,68,27
Cal Clutterbuck,NYI,W,Right,37,3,4,7,0.19,6,35,0.09,13:25,13.41666667,,UFA,"$3,500,000",4.80%,0.048,"$3,500,000",35.72,38.16,38.18,22,21,12,127,58,38
Buddy Robinson,CGY,W,Right,5,1,0,1,0.2,0,6,0.17,12:14,12.23333333,,UFA,"$700,000",0.90%,0.009,"$700,000",47.22,51.32,54.96,7,1,2,14,8,5
Bryan Rust,PIT,W,Right,55,27,29,56,1.02,14,151,0.18,19:45,19.75,,UFA,"$3,500,000",4.40%,0.044,"$3,500,000",53.89,54.45,58.87,30,37,29,71,87,35
Bryan Little,WPG,C,Right,7,2,3,5,0.71,4,13,0.15,16:09,16.15,NMC,UFA,"$5,291,667",7.10%,0.071,"$6,500,000",56.9,54.29,46.66,2,2,2,3,3,3
Brock Nelson,NYI,C,Left,68,26,28,54,0.79,6,175,0.15,18:51,18.85,NTC,UFA,"$6,000,000",7.50%,0.075,"$8,000,000",47.29,47.39,50.81,32,52,26,49,89,44
Brock McGinn,CAR,W,Left,68,7,10,17,0.25,-4,93,0.08,13:12,13.2,,UFA,"$2,100,000",2.60%,0.026,"$1,900,000",45.55,45.32,41.28,17,10,19,80,81,28
Brock Boeser,VAN,W,Right,57,16,29,45,0.79,4,169,0.09,18:34,18.56666667,,RFA,"$5,875,000",7.20%,0.072,"$4,000,000",61.46,61.92,59.11,14,22,20,28,41,14
Brian Gibbons,CAR,C,Left,15,0,0,0,0,-7,9,0,9:45,9.75,,UFA,"$725,000",0.90%,0.009,"$725,000",42.59,42.65,36.27,4,7,8,7,15,9
Brian Dumoulin,PIT,D,Left,28,1,7,8,0.29,17,35,0.03,21:03,21.05,,UFA,"$4,100,000",5.50%,0.055,"$4,100,000",53.7,54.68,53.02,10,13,13,44,78,35
Brian Boyle,FLA,C,Left,39,6,9,15,0.38,-5,56,0.11,12:22,12.36666667,,UFA,"$940,000",1.20%,0.012,"$940,000",44.11,44.91,43.83,17,13,16,65,21,34
Brett Ritchie,BOS,W,Right,27,2,4,6,0.22,-3,34,0.06,10:24,10.4,,UFANo QO,"$1,000,000",1.20%,0.012,"$1,000,000",52.78,51.23,45.43,21,4,3,89,39,3
Brett Pesce,CAR,D,Right,60,4,14,18,0.3,7,104,0.04,21:52,21.86666667,,UFA,"$4,025,000",5.40%,0.054,"$4,025,000",47.16,46.08,43.27,27,39,42,22,80,91
Brett Kulak,MTL,D,Left,54,0,7,7,0.13,-1,101,0,17:08,17.13333333,,UFA,"$1,850,000",2.30%,0.023,"$1,950,000",56.34,55.58,56.5,12,36,13,59,106,50
Brett Connolly,FLA,W,Right,69,19,14,33,0.48,-3,117,0.16,14:29,14.48333333,,UFA,"$3,500,000",4.30%,0.043,"$3,500,000",54.43,55.09,51.7,26,22,28,56,72,17
Brent Seabrook,CHI,D,Right,31,3,1,4,0.13,1,40,0.08,18:08,18.13333333,NMC,UFA,"$6,875,000",9.60%,0.096,"$7,500,000",43.49,43.04,41.24,8,27,3,52,44,61
Brent Burns,S.J,D,Right,70,12,33,45,0.64,-22,225,0.05,25:24:00,25.4,M-NTC,UFA,"$8,000,000",11.00%,0.11,"$10,000,000",51.05,50.18,49.33,34,76,49,72,39,115
Brenden Dillon,"S.J, WSH",D,Left,70,1,13,14,0.2,-2,58,0.02,19:27,19.45,,UFA,"$3,270,000",4.60%,0.046,"$3,900,000",47.27,46.67,45.03,104,26,16,194,99,74
Brendan Smith,NYR,D,Left,62,3,5,8,0.13,-12,45,0.07,11:06,11.1,M-NTC,UFA,"$4,350,000",5.80%,0.058,"$4,525,000",37.4,38.53,32.38,71,24,18,90,68,41
Brendan Perlini,"CHI, DET",W,Left,40,1,3,4,0.1,-18,48,0.02,10:42,10.7,,UFANo QO,"$874,125",1.10%,0.011,"$874,125",45.16,43.71,41.45,10,8,7,22,30,10
Brendan Lemieux,NYR,W,Left,58,6,12,18,0.31,-14,86,0.07,12:52,12.86666667,,RFA,"$925,000",1.10%,0.011,"$925,000",43.77,46.2,46.71,111,30,15,164,83,52
Brendan Gallagher,MTL,W,Right,59,22,21,43,0.73,9,226,0.1,16:54,16.9,,UFA,"$3,750,000",5.40%,0.054,"$4,000,000",62.81,62.56,62.14,29,18,39,53,69,29
Braydon Coburn,T.B,D,Left,40,1,3,4,0.1,5,44,0.02,14:03,14.05,NTC,UFA,"$1,700,000",2.10%,0.021,"$1,800,000",48.9,47.16,47.02,16,5,3,59,51,28
Brayden Schenn,STL,C,Left,71,25,33,58,0.82,3,138,0.18,18:27,18.45,,UFA,"$5,125,000",7.00%,0.07,"$4,500,000",56.9,56.47,55.27,44,39,26,119,72,21
Brayden Point,T.B,C,Right,66,25,39,64,0.97,28,141,0.18,18:54,18.9,,RFA,"$6,750,000",8.30%,0.083,"$5,250,000",59.88,59.8,60.79,11,19,30,24,90,30
Brayden McNabb,VGK,D,Left,69,2,7,9,0.13,1,73,0.03,20:00,20,,UFA,"$2,500,000",3.30%,0.033,"$2,500,000",45.63,46.63,44.75,40,32,32,201,96,133
Brandon Tanev,PIT,W,Left,68,11,14,25,0.37,-1,95,0.12,14:45,14.75,M-NTC,UFA,"$3,500,000",4.30%,0.043,"$3,500,000",44.9,44.72,43.06,16,37,33,244,171,65
Brandon Sutter,VAN,C,Right,44,8,9,17,0.39,1,76,0.11,14:50,14.83333333,M-NTC,UFA,"$4,375,000",6.00%,0.06,"$4,500,000",41.3,42.27,38.7,25,9,15,18,26,15
Brandon Saad,CHI,W,Left,58,21,12,33,0.57,2,140,0.15,16:44,16.73333333,,UFA,"$6,000,000",8.20%,0.082,"$6,750,000",49.56,48.87,48.36,16,25,40,36,57,19
Brandon Pirri,VGK,C,Left,15,0,2,2,0.13,-4,24,0,12:33,12.55,,UFA,"$775,000",1.00%,0.01,"$775,000",55.76,54.74,65.13,8,4,8,16,19,5
Brandon Montour,BUF,D,Right,55,5,13,18,0.33,13,86,0.06,19:29,19.48333333,,RFA,"$3,387,500",4.30%,0.043,"$3,525,000",46.58,46.15,44.27,28,27,12,60,68,53
Brandon Manning,EDM,D,Left,9,1,0,1,0.11,-1,8,0.13,11:02,11.03333333,,UFA,"$2,250,000",2.80%,0.028,"$2,000,000",50.66,54.87,52.64,17,8,1,10,8,6
Brandon Carlo,BOS,D,Right,68,4,15,19,0.28,16,111,0.04,20:28,20.46666667,,RFA,"$2,850,000",3.50%,0.035,"$2,200,000",45.13,44.69,42.91,33,32,31,126,150,76
Brady Skjei,"CAR, NYR",D,Left,67,8,16,24,0.36,-10,139,0.06,20:41,20.68333333,,UFA,"$5,250,000",6.60%,0.066,"$5,400,000",42.27,42.07,39.5,45,55,36,103,98,96
Brad Richardson,ARI,W,Left,58,6,5,11,0.19,1,76,0.08,13:38,13.63333333,M-NTC,UFA,"$1,250,000",1.60%,0.016,"$1,400,000",37.92,37.97,37.19,20,18,12,77,51,44
Brad Marchand,BOS,W,Left,70,28,59,87,1.24,25,185,0.15,19:27,19.45,NMC,UFA,"$6,125,000",8.40%,0.084,"$7,500,000",59.58,59.65,60.9,82,71,43,55,95,19
Brad Hunt,MIN,D,Left,59,8,11,19,0.32,-7,106,0.08,15:08,15.13333333,,UFA,"$700,000",0.90%,0.009,"$700,000",54.89,55.5,57.71,6,14,15,12,32,39
Boone Jenner,CBJ,C,Left,71,11,13,24,0.34,-14,179,0.06,18:06,18.1,,UFA,"$3,750,000",4.70%,0.047,"$4,000,000",47.14,48.92,49.42,36,28,24,109,65,80
Bo Horvat,VAN,C,Left,69,22,31,53,0.77,-15,178,0.12,19:43,19.71666667,,UFA,"$5,500,000",7.30%,0.073,"$5,775,000",55.95,56.03,53.71,21,27,28,55,56,66
Blake Wheeler,WPG,W,Right,71,22,43,65,0.92,1,180,0.12,19:19,19.31666667,NMC,UFA,"$8,250,000",10.40%,0.104,"$10,000,000",57.76,57.85,57.24,37,46,37,102,59,51
Blake Comeau,DAL,W,Right,55,8,8,16,0.29,-6,74,0.11,14:56,14.93333333,,UFA,"$2,400,000",3.00%,0.03,"$2,600,000",42.97,41.9,40.56,36,27,21,107,41,24
Blake Coleman,"N.J, T.B",C,Left,67,21,11,32,0.48,0,200,0.11,16:43,16.71666667,,UFA,"$1,800,000",2.30%,0.023,"$1,800,000",46.25,47.11,45.89,56,21,48,191,65,46
Ben Street,N.J,C,Left,3,0,1,1,0.33,1,4,0,8:07,8.116666667,,UFA,"$750,000",0.90%,0.009,"$750,000",43.14,40,28.75,0,0,0,3,2,0
Ben Hutton,L.A,D,Left,64,4,12,16,0.25,5,114,0.04,18:15,18.25,,UFA,"$1,500,000",1.80%,0.018,"$1,500,000",53.25,52.68,50.81,14,41,12,51,84,76
Ben Chiarot,MTL,D,Left,70,9,12,21,0.3,5,130,0.07,23:08,23.13333333,M-NTC,UFA,"$3,500,000",4.30%,0.043,"$3,500,000",48.79,48.3,45.04,61,86,18,152,141,128
Barclay Goodrow,"S.J, T.B",W,Left,70,8,18,26,0.37,-8,102,0.08,15:55,15.91666667,,UFA,"$925,000",1.20%,0.012,"$1,000,000",46.08,46.16,43.31,97,23,44,162,79,66
Auston Matthews,TOR,C,Left,70,47,33,80,1.14,19,290,0.16,20:58,20.96666667,,UFA,"$11,634,000",14.60%,0.146,"$15,900,000",58.61,58.27,61.01,8,48,78,40,82,60
Austin Watson,NSH,W,Right,54,6,8,14,0.26,-9,50,0.12,11:37,11.61666667,,UFA,"$1,100,000",1.50%,0.015,"$1,200,000",38.72,40.42,36.93,65,20,18,131,41,48
Austin Czarnik,CGY,C,Right,8,2,1,3,0.38,1,9,0.22,10:11,10.18333333,,UFA,"$1,250,000",1.60%,0.016,"$1,250,000",54.62,50.52,46.48,0,2,6,1,5,2
Artturi Lehkonen,MTL,W,Left,69,13,14,27,0.39,2,140,0.09,15:25,15.41666667,,RFA,"$2,400,000",2.90%,0.029,"$2,400,000",46.92,44.99,42.7,24,22,30,120,109,38
Artemi Panarin,NYR,W,Right,69,32,63,95,1.38,36,209,0.15,20:36,20.6,NMC,UFA,"$11,642,857",14.30%,0.143,"$14,000,000",57.77,58.5,59.24,20,82,56,25,50,18
Artem Anisimov,OTT,C,Left,49,15,5,20,0.41,-15,87,0.17,13:50,13.83333333,,UFA,"$4,550,000",6.20%,0.062,"$4,000,000",50.87,49.28,51.08,8,16,19,6,43,25
Anze Kopitar,L.A,C,Left,70,21,41,62,0.89,6,135,0.16,21:02,21.03333333,NMC,UFA,"$10,000,000",14.00%,0.14,"$11,000,000",54.47,54.05,51.41,16,49,39,49,68,56
Antti Suomela,S.J,C,Left,20,1,6,7,0.35,4,18,0.06,9:41,9.683333333,,RFA,"$700,000",0.90%,0.009,"$700,000",45.92,45.21,46.82,4,4,6,27,25,5
Anton Stralman,FLA,D,Right,68,5,14,19,0.28,-6,89,0.06,21:03,21.05,M-NTC,UFA,"$5,500,000",6.70%,0.067,"$5,500,000",42.25,42.92,40.89,14,48,40,68,89,96
Anton Lindholm,COL,D,Left,4,0,1,1,0.25,1,1,0,11:46,11.76666667,,RFA,"$742,500",0.90%,0.009,"$735,000",45.35,45.9,58.05,0,0,0,5,2,5
Antoine Roussel,VAN,W,Left,41,7,6,13,0.32,0,55,0.13,11:50,11.83333333,M-NTC,UFA,"$3,000,000",3.80%,0.038,"$3,800,000",51.18,52.43,52.74,43,13,7,44,55,14
Anthony Mantha,DET,W,Left,43,16,22,38,0.88,-7,137,0.12,18:53,18.88333333,,RFA,"$3,300,000",4.20%,0.042,"$3,300,000",59.4,59.39,57.78,34,30,22,49,23,25
Anthony Duclair,OTT,W,Left,66,23,17,40,0.61,-5,184,0.13,16:15,16.25,,UFANo QO,"$1,650,000",2.10%,0.021,"$1,650,000",52.26,51.92,52.57,18,46,18,53,74,39
Anthony Bitetto,WPG,D,Left,50,0,8,8,0.16,3,54,0,15:09,15.15,,UFA,"$700,000",0.90%,0.009,"$700,000",41.54,41.96,37.33,32,22,16,145,68,50
Anthony Beauvillier,NYI,W,Left,68,18,21,39,0.57,-11,132,0.14,17:15,17.25,,RFA,"$2,100,000",2.60%,0.026,"$1,800,000",49.84,50.06,52.43,15,51,29,86,134,36
Andy Greene,"N.J, NYI",D,Left,64,2,12,14,0.22,1,60,0.03,19:32,19.53333333,NTC,UFA,"$5,000,000",7.20%,0.072,"$5,000,000",39.98,41.54,40.16,16,41,16,30,74,155
Andy Andreoff,PHI,C,Left,14,0,1,1,0.07,-3,14,0,8:32,8.533333333,,UFA,"$750,000",0.90%,0.009,"$750,000",49,51.59,46.25,2,0,1,20,12,4
Andrew Shaw,CHI,W,Right,26,3,7,10,0.38,-4,46,0.07,14:27,14.45,,UFA,"$3,900,000",5.30%,0.053,"$3,250,000",55.97,53.79,54.36,33,15,12,74,50,9
Andrew Mangiapane,CGY,W,Left,68,17,15,32,0.47,4,109,0.16,13:42,13.7,,RFA,"$715,000",0.90%,0.009,"$715,000",54.04,53.93,54.69,18,29,38,73,55,25
Andrew Ladd,NYI,W,Left,4,1,0,1,0.25,2,5,0.2,11:57,11.95,NTC,UFA,"$5,500,000",7.50%,0.075,"$5,000,000",43.04,41.54,50.91,4,1,0,23,7,0
Andrew Copp,WPG,C,Left,63,10,16,26,0.41,-3,121,0.08,17:41,17.68333333,,RFA,"$2,280,000",2.80%,0.028,"$2,260,000",49.22,47.74,46.07,10,27,38,59,74,27
Andrew Cogliano,DAL,C,Left,67,3,11,14,0.21,2,68,0.04,12:28,12.46666667,M-NTC,UFA,"$3,250,000",4.30%,0.043,"$3,250,000",45.12,44.8,42.29,30,20,24,86,44,31
Andrej Sekera,DAL,D,Left,57,2,6,8,0.14,9,63,0.03,18:00,18,M-NTC,UFA,"$5,500,000",1.80%,0.018,"$4,500,000",43.36,44.22,42.86,14,50,8,34,90,75
Andrej Sekera,DAL,D,Left,57,2,6,8,0.14,9,63,0.03,18:00,18,,UFA,"$1,500,000",1.80%,0.018,"$1,500,000",43.36,44.22,42.86,14,50,8,34,90,75
Andreas Johnsson,TOR,W,Left,43,8,13,21,0.49,0,78,0.1,15:45,15.75,,UFA,"$3,400,000",4.20%,0.042,"$5,000,000",57.36,55.96,56.79,14,20,13,43,52,21
Andreas Athanasiou,"DET, EDM",W,Left,55,11,15,26,0.47,-46,129,0.09,15:51,15.85,,UFANo QO,"$3,000,000",3.80%,0.038,"$3,000,000",50.29,51.44,48.29,30,31,15,36,47,24
Andre Burakovsky,COL,W,Left,58,20,25,45,0.78,11,103,0.19,15:12,15.2,,RFA,"$3,250,000",4.00%,0.04,"$3,250,000",57.43,55.93,54.97,22,33,27,26,83,34
Anders Lee,NYI,W,Left,68,20,23,43,0.63,8,195,0.1,18:17,18.28333333,NTC,UFA,"$7,000,000",8.60%,0.086,"$9,000,000",55.8,56.16,57.29,47,44,24,102,82,50
Alexander Steen,STL,W,Left,55,7,10,17,0.31,7,71,0.1,14:02,14.03333333,NTC,UFA,"$5,750,000",7.90%,0.079,"$5,500,000",42.49,42.84,41.6,12,12,16,26,51,47
Alexander Radulov,DAL,W,Left,60,15,19,34,0.57,8,132,0.11,16:44,16.73333333,NMC,UFA,"$6,250,000",8.30%,0.083,"$6,600,000",57.83,57.66,60.42,46,44,26,48,53,42
Alexander Kerfoot,TOR,C,Left,65,9,19,28,0.43,-2,88,0.1,14:46,14.76666667,,UFA,"$3,500,000",4.30%,0.043,"$5,000,000",54.31,54.02,54.38,32,33,28,48,121,41
Alexander Edler,VAN,D,Left,59,5,28,33,0.56,13,118,0.04,22:37,22.61666667,NMC,UFA,"$6,000,000",7.50%,0.075,"$7,000,000",44.73,45.75,42.03,62,43,9,108,127,162
Alex Tuch,VGK,W,Right,43,8,9,17,0.4,-10,98,0.08,14:37,14.61666667,,UFA,"$4,750,000",6.00%,0.06,"$4,750,000",58.9,58.09,55.61,8,27,27,58,44,20
Alex Pietrangelo,STL,D,Right,70,16,36,52,0.74,11,225,0.07,24:11:00,24.18333333,NTC,UFA,"$6,500,000",10.10%,0.101,"$7,500,000",55.22,54.77,54.65,20,45,43,47,112,89
Alex Ovechkin,WSH,W,Right,68,48,19,67,0.99,-12,311,0.15,20:39,20.65,M-NTC,UFA,"$9,538,462",19.00%,0.19,"$10,000,000",60.17,59.34,62.04,30,48,28,184,43,30
Alex Killorn,T.B,W,Left,68,26,23,49,0.72,19,130,0.2,17:55,17.91666667,NTC,UFA,"$4,450,000",6.10%,0.061,"$4,450,000",52.08,51.23,52.08,20,26,27,59,74,15
Alex Iafallo,L.A,W,Left,70,17,26,43,0.61,1,142,0.12,18:55,18.91666667,,UFA,"$2,425,000",3.00%,0.03,"$2,400,000",54.13,54.14,51.88,14,11,18,49,81,47
Alex Goligoski,ARI,D,Left,70,4,28,32,0.46,8,101,0.04,23:03,23.05,M-NTC,UFA,"$5,475,000",7.50%,0.075,"$5,800,000",47.87,48.08,46.98,24,53,7,91,94,134
Alex Galchenyuk,"MIN, PIT",C,Left,59,8,16,24,0.41,-5,86,0.09,12:17,12.28333333,,UFA,"$4,900,000",6.50%,0.065,"$4,900,000",52.38,52.29,55.27,16,20,5,52,68,17
Alex Chiasson,EDM,W,Right,65,11,13,24,0.37,-3,97,0.11,13:07,13.11666667,,UFA,"$2,150,000",2.60%,0.026,"$2,150,000",57.02,56.01,60.39,42,20,14,56,91,15
Alex Biega,DET,D,Right,50,0,3,3,0.06,-9,55,0,16:25,16.41666667,,UFA,"$825,000",1.10%,0.011,"$700,000",42.98,42.83,38.37,24,30,4,115,70,46
Aleksander Barkov,FLA,C,Left,66,20,42,62,0.94,2,172,0.12,20:00,20,,UFA,"$5,900,000",8.10%,0.081,"$6,900,000",56.87,55.67,53.14,18,52,51,21,72,35
Alec Martinez,"L.A, VGK",D,Left,52,3,13,16,0.31,-4,75,0.04,21:30,21.5,,UFA,"$4,000,000",5.80%,0.058,"$4,150,000",49.98,51.18,50.31,23,32,14,43,75,117
Alan Quine,CGY,C,Left,9,1,0,1,0.11,-1,12,0.08,9:48,9.8,,UFA,"$735,000",0.90%,0.009,"$735,000",51.61,49.29,55.98,4,1,2,6,3,2
Adrian Kempe,L.A,C,Left,70,11,21,32,0.46,-10,148,0.07,16:00,16,,RFA,"$2,000,000",2.50%,0.025,"$1,250,000",59.62,59.35,56.02,29,27,24,71,55,17
Adam Pelech,NYI,D,Left,38,1,8,9,0.24,4,49,0.02,21:07,21.11666667,,RFA,"$1,600,000",2.10%,0.021,"$1,925,000",40.35,41.6,44.97,20,48,32,81,63,83
Adam Lowry,WPG,C,Left,50,4,6,10,0.2,-4,68,0.06,14:57,14.95,,UFA,"$2,916,666",3.70%,0.037,"$2,750,000",40.83,40.52,37.28,23,11,31,137,66,22
Adam Larsson,EDM,D,Right,50,1,5,6,0.12,0,61,0.02,19:49,19.81666667,,UFA,"$4,166,666",5.80%,0.058,"$5,050,000",43.89,45.35,46.48,35,35,16,112,65,82
Adam Henrique,ANA,C,Left,70,26,17,43,0.61,-2,169,0.15,16:52,16.86666667,M-NTC,UFA,"$5,825,000",7.30%,0.073,"$5,825,000",55.53,54.92,55.59,20,32,26,75,40,32
Adam Erne,DET,W,Left,56,2,3,5,0.09,-24,63,0.03,11:48,11.8,,UFANo QO,"$1,050,000",1.30%,0.013,"$1,050,000",45.37,44.87,43.11,28,27,5,142,32,25
Aaron Ness,ARI,D,Left,25,0,1,1,0.04,1,11,0,12:32,12.53333333,,UFA,"$725,000",0.90%,0.009,"$725,000",49.46,49.65,50.27,0,8,1,17,49,20
Aaron Ekblad,FLA,D,Right,67,5,36,41,0.61,12,147,0.03,22:58,22.96666667,,UFA,"$7,500,000",10.30%,0.103,"$9,000,000",51.44,51.87,47.43,26,74,37,34,56,84
